Turnaround ID,AL,A/C Type,Stand,weekday,daytime,Performance
1,AL1,T1,A,Friday,afternoon,H
2,AL1,T1,A,Friday,afternoon,H
3,AL1,T1,A,Friday,afternoon,H
4,AL1,T1,A,Friday,afternoon,H
5,AL1,T1,A,Friday,afternoon,H
6,AL1,T1,A,Friday,afternoon,H
7,AL1,T1,A,Friday,afternoon,H
8,AL1,T1,A,Friday,afternoon,H
9,AL1,T1,A,Friday,afternoon,H
10,AL1,T1,A,Friday,afternoon,L
11,AL1,T1,A,Friday,evening,H
12,AL1,T1,A,Friday,evening,L
13,AL1,T1,A,Friday,morning,H
14,AL1,T1,A,Friday,morning,H
15,AL1,T1,A,Friday,morning,L
16,AL1,T1,A,Monday,afternoon,H
17,AL1,T1,A,Monday,afternoon,H
18,AL1,T1,A,Monday,afternoon,H
19,AL1,T1,A,Monday,afternoon,H
20,AL1,T1,A,Monday,afternoon,H
21,AL1,T1,A,Monday,afternoon,H
22,AL1,T1,A,Monday,afternoon,H
23,AL1,T1,A,Monday,afternoon,H
24,AL1,T1,A,Monday,afternoon,L
25,AL1,T1,A,Monday,evening,H
26,AL1,T1,A,Monday,evening,H
27,AL1,T1,A,Monday,evening,H
28,AL1,T1,A,Monday,evening,H
29,AL1,T1,A,Monday,evening,L
30,AL1,T1,A,Monday,evening,L
31,AL1,T1,A,Monday,morning,H
32,AL1,T1,A,Monday,morning,H
33,AL1,T1,A,Monday,morning,H
34,AL1,T1,A,Monday,morning,H
35,AL1,T1,A,Monday,morning,H
36,AL1,T1,A,Monday,morning,L
37,AL1,T1,A,Monday,night,H
38,AL1,T1,A,Saturday,afternoon,H
39,AL1,T1,A,Saturday,afternoon,H
40,AL1,T1,A,Saturday,afternoon,H
41,AL1,T1,A,Saturday,afternoon,H
42,AL1,T1,A,Saturday,afternoon,H
43,AL1,T1,A,Saturday,afternoon,L
44,AL1,T1,A,Saturday,afternoon,L
45,AL1,T1,A,Saturday,afternoon,L
46,AL1,T1,A,Saturday,evening,H
47,AL1,T1,A,Saturday,evening,H
48,AL1,T1,A,Saturday,morning,L
49,AL1,T1,A,Saturday,morning,L
50,AL1,T1,A,Saturday,night,H
51,AL1,T1,A,Sunday,afternoon,H
52,AL1,T1,A,Sunday,afternoon,H
53,AL1,T1,A,Sunday,afternoon,H
54,AL1,T1,A,Sunday,afternoon,H
55,AL1,T1,A,Sunday,afternoon,L
56,AL1,T1,A,Sunday,afternoon,L
57,AL1,T1,A,Sunday,evening,H
58,AL1,T1,A,Sunday,evening,H
59,AL1,T1,A,Sunday,evening,H
60,AL1,T1,A,Sunday,evening,H
61,AL1,T1,A,Sunday,evening,L
62,AL1,T1,A,Sunday,morning,H
63,AL1,T1,A,Sunday,morning,H
64,AL1,T1,A,Sunday,morning,H
65,AL1,T1,A,Sunday,morning,H
66,AL1,T1,A,Sunday,morning,H
67,AL1,T1,A,Sunday,morning,H
68,AL1,T1,A,Sunday,morning,H
69,AL1,T1,A,Sunday,morning,H
70,AL1,T1,A,Sunday,morning,L
71,AL1,T1,A,Sunday,morning,L
72,AL1,T1,A,Sunday,morning,L
73,AL1,T1,A,Sunday,morning,L
74,AL1,T1,A,Sunday,night,H
75,AL1,T1,A,Sunday,night,H
76,AL1,T1,A,Sunday,night,H
77,AL1,T1,A,Thursday,afternoon,H
78,AL1,T1,A,Thursday,afternoon,H
79,AL1,T1,A,Thursday,afternoon,H
80,AL1,T1,A,Thursday,afternoon,H
81,AL1,T1,A,Thursday,afternoon,H
82,AL1,T1,A,Thursday,afternoon,H
83,AL1,T1,A,Thursday,afternoon,H
84,AL1,T1,A,Thursday,evening,H
85,AL1,T1,A,Thursday,evening,H
86,AL1,T1,A,Thursday,evening,H
87,AL1,T1,A,Thursday,evening,H
88,AL1,T1,A,Thursday,morning,H
89,AL1,T1,A,Thursday,morning,H
90,AL1,T1,A,Thursday,morning,L
91,AL1,T1,A,Thursday,morning,L
92,AL1,T1,A,Thursday,morning,L
93,AL1,T1,A,Thursday,morning,L
94,AL1,T1,A,Tuesday,afternoon,H
95,AL1,T1,A,Tuesday,afternoon,H
96,AL1,T1,A,Tuesday,afternoon,H
97,AL1,T1,A,Tuesday,afternoon,H
98,AL1,T1,A,Tuesday,afternoon,H
99,AL1,T1,A,Tuesday,afternoon,H
100,AL1,T1,A,Tuesday,afternoon,H
101,AL1,T1,A,Tuesday,afternoon,H
102,AL1,T1,A,Tuesday,afternoon,H
103,AL1,T1,A,Tuesday,evening,H
104,AL1,T1,A,Tuesday,evening,H
105,AL1,T1,A,Tuesday,evening,H
106,AL1,T1,A,Tuesday,evening,H
107,AL1,T1,A,Tuesday,evening,H
108,AL1,T1,A,Tuesday,evening,H
109,AL1,T1,A,Tuesday,morning,H
110,AL1,T1,A,Tuesday,morning,H
111,AL1,T1,A,Tuesday,morning,H
112,AL1,T1,A,Tuesday,morning,H
113,AL1,T1,A,Tuesday,morning,L
114,AL1,T1,A,Tuesday,morning,L
115,AL1,T1,A,Tuesday,morning,L
116,AL1,T1,A,Tuesday,night,H
117,AL1,T1,A,Tuesday,night,H
118,AL1,T1,A,Tuesday,night,H
119,AL1,T1,A,Wednesday,afternoon,H
120,AL1,T1,A,Wednesday,afternoon,H
121,AL1,T1,A,Wednesday,afternoon,H
122,AL1,T1,A,Wednesday,afternoon,H
123,AL1,T1,A,Wednesday,afternoon,H
124,AL1,T1,A,Wednesday,afternoon,L
125,AL1,T1,A,Wednesday,evening,H
126,AL1,T1,A,Wednesday,evening,H
127,AL1,T1,A,Wednesday,evening,H
128,AL1,T1,A,Wednesday,evening,L
129,AL1,T1,A,Wednesday,morning,H
130,AL1,T1,A,Wednesday,morning,H
131,AL1,T1,A,Wednesday,morning,H
132,AL1,T1,A,Wednesday,morning,H
133,AL1,T1,A,Wednesday,morning,H
134,AL1,T1,A,Wednesday,morning,L
135,AL1,T1,A,Wednesday,morning,L
136,AL1,T1,A,Wednesday,morning,L
137,AL1,T1,A,Wednesday,night,H
138,AL1,T1,A,Wednesday,night,H
139,AL1,T1,A,Wednesday,night,L
140,AL4,T8,B,Friday,night,H
141,AL4,T8,B,Friday,night,L
142,AL4,T8,B,Sunday,night,H
143,AL4,T8,B,Thursday,night,H
144,AL0,T4,B,Friday,afternoon,H
145,AL0,T4,B,Friday,afternoon,H
146,AL0,T4,B,Friday,afternoon,L
147,AL0,T4,B,Friday,afternoon,L
148,AL0,T4,B,Friday,evening,H
149,AL0,T4,B,Friday,evening,H
150,AL0,T4,B,Monday,afternoon,H
151,AL0,T4,B,Monday,afternoon,L
152,AL0,T4,B,Monday,evening,L
153,AL0,T4,B,Monday,morning,H
154,AL0,T4,B,Monday,morning,L
155,AL0,T4,B,Monday,morning,L
156,AL0,T4,B,Saturday,afternoon,H
157,AL0,T4,B,Saturday,evening,H
158,AL0,T4,B,Saturday,evening,H
159,AL0,T4,B,Saturday,evening,H
160,AL0,T4,B,Saturday,evening,H
161,AL0,T4,B,Saturday,evening,H
162,AL0,T4,B,Saturday,evening,L
163,AL0,T4,B,Saturday,morning,L
164,AL0,T4,B,Sunday,evening,L
165,AL0,T4,B,Thursday,afternoon,H
166,AL0,T4,B,Thursday,afternoon,H
167,AL0,T4,B,Thursday,afternoon,H
168,AL0,T4,B,Thursday,afternoon,H
169,AL0,T4,B,Thursday,afternoon,L
170,AL0,T4,B,Thursday,evening,H
171,AL0,T4,B,Thursday,morning,H
172,AL0,T4,B,Thursday,morning,L
173,AL0,T4,B,Thursday,morning,L
174,AL0,T4,B,Tuesday,afternoon,H
175,AL0,T4,B,Tuesday,afternoon,L
176,AL0,T4,B,Tuesday,afternoon,L
177,AL0,T4,B,Tuesday,afternoon,L
178,AL0,T4,B,Tuesday,evening,H
179,AL0,T4,B,Tuesday,morning,H
180,AL0,T4,B,Tuesday,morning,L
