AT,GT,FPT,RH,WSA,WSP,WD,SS1,DP,Turnaround ID
-0.9,-1.7,---,82.5,9.0,10.7,NE,-1.3,-3.4,15
1.9,8.2,---,65.5,13.6,17.6,NE,-1.3,-3.6,1
0.2,3.8,---,68.5,14.3,16.9,NE,-1.2,-4.7,2
-0.7,1.9,---,80.4,10.7,18.3,N,-1.1,-3.7,38
-2.1,-1.0,---,84.4,11.1,18.3,SE,-1.0,-4.4,46
3.0,2.9,  -0.1,94.6,15.5,20.5,W,-0.3,2.2,74
3.7,5.4,---,76.5,17.9,23.7,W,0.1,0.0,25
-4.2,-1.4,---,83.5,19.8,24.8,N,-0.1,-6.6,109
-4.1,0.4,---,75.9,25.5,33.0,N,-0.2,-7.7,94
-4.6,-1.8,---,80.9,24.8,35.6,N,-0.2,-7.3,103
-4.2,-2.5,---,84.1,23.0,30.9,N,-0.2,-6.5,104
-3.6,-2.8,---,87.3,24.4,37.8,N,-0.2,-5.4,116
-4.9,-2.8,---,82.6,20.8,29.5,N,-0.4,-7.4,129
-11.5,-8.9,---,66.1,24.1,28.4,N,-0.4,-16.6,125
-12.1,-10.9,---,64.9,24.1,36.0,N,-0.5,-17.4,137
-8.2,-5.7,***,74.4,27.3,38.8,N,-1.3,-11.9,88
-7.6,-3.6,---,72.1,28.4,42.5,N,-1.3,-11.7,77
-7.8,-5.3,---,71.4,20.5,25.8,N,-1.2,-12.1,84
-9.5,-8.7,---,76.8,7.6,9.7,N,-1.2,-12.8,85
2.7,9.2,---,32.2,32.3,47.1,NW,-1.9,-12.0,3
2.2,3.6,---,33.2,18.6,27.0,NW,-1.6,-12.1,4
-1.1,-2.4,---,39.5,10.7,13.3,NW,-1.4,-13.1,12
-4.8,-4.2,---,71.2,9.3,13.3,SE,-1.2,-9.2,48
0.3,2.8,---,81.3,9.7,16.2,N,-1.3,-2.3,39
0.0,1.2,---,83.0,7.9,14.0,SE,-1.2,-2.5,43
-0.8,-0.8,  -0.1,89.9,14.0,19.1,E,-1.0,-2.2,50
-2.6,-2.5,  -0.1,89.7,24.4,32.7,N,-0.8,-4.0,70
-2.0,0.1,***,82.8,35.3,52.1,N,-0.7,-4.6,71
